0.93,K,SI2,Ideal,$814.00 
0.9,J,VS2,Excellent,$815.00 
0.57,F,VS2,Excellent,$819.00 
0.74,G,VS2,Ideal,$819.00 
0.52,G,VVS1,Ideal,$819.00 
0.75,K,VS1,Ideal,$823.00 
0.75,K,VS1,Ideal,$823.00 
0.75,K,VS1,Ideal,$823.00 
0.93,K,SI1,Ideal,$824.00 
0.76,K,VS1,Excellent,$824.00 
0.58,H,VVS2,Ideal,$824.00 
0.7,G,VS1,Very Good,$825.00 
0.65,J,VVS1,Ideal,$826.00 
0.7,I,SI2,Excellent,$827.00 
0.54,G,VVS2,Ideal,$829.00 
0.54,G,VVS2,Ideal,$829.00 
0.76,K,VS1,Ideal,$834.00 
0.58,D,SI1,Ideal,$834.00 
0.53,G,VVS1,Excellent,$834.00 
0.72,J,VS2,Ideal,$834.00 
0.91,K,VS1,Very Good,$835.00 
0.71,G,VS1,Excellent,$837.00 
0.59,H,VVS2,Excellent,$838.00 
0.61,E,SI1,Ideal,$843.00 
0.71,J,VS1,Excellent,$844.00 
0.55,G,VVS2,Ideal,$845.00 
0.54,G,VVS1,Ideal,$850.00 
0.78,K,VS1,Ideal,$856.00 
0.5,E,VVS2,Ideal,$856.00 
0.74,J,VS2,Excellent,$857.00 
0.7,G,VVS2,Very Good,$859.00 
0.7,G,VVS2,Excellent,$859.00 
0.7,G,VVS2,Very Good,$859.00 
0.7,G,VVS2,Excellent,$859.00 
0.7,G,VVS2,Ideal,$859.00 
0.56,G,VVS2,Ideal,$860.00 
0.56,G,VVS2,Ideal,$860.00 
0.79,J,SI2,Ideal,$860.00 
0.66,I,VVS2,Excellent,$862.00 
0.52,D,VS2,Ideal,$864.00 
0.55,G,VVS1,Ideal,$866.00 
0.83,K,SI1,Ideal,$866.00 
0.83,K,SI1,Excellent,$866.00 
0.79,K,VS1,Excellent,$867.00 
0.71,G,VVS2,Excellent,$871.00 
0.71,G,VVS2,Ideal,$871.00 
0.9,K,VVS2,Very Good,$873.00 
0.51,E,VVS2,Ideal,$873.00 
0.9,K,VS1,Ideal,$875.00 
0.9,K,VS1,Ideal,$875.00 
0.53,E,VS1,Ideal,$875.00 
0.53,F,VVS2,Excellent,$875.00 
0.53,F,VVS2,Excellent,$875.00 
0.73,F,VS2,Excellent,$878.00 
0.92,K,VS1,Excellent,$882.00 
0.7,J,VVS2,Excellent,$882.00 
0.56,G,VVS1,Excellent,$882.00 
0.5,D,VS1,Excellent,$883.00 
0.52,E,VS1,Ideal,$884.00 
0.91,J,SI2,Excellent,$884.00 
0.72,G,VVS2,Ideal,$884.00 
0.72,G,VVS2,Ideal,$884.00 
0.72,G,VVS2,Ideal,$884.00 
0.72,G,VVS2,Ideal,$884.00 
0.91,K,VS1,Ideal,$885.00 
0.6,G,SI1,Ideal,$887.00 
0.7,I,SI1,Excellent,$891.00 
0.54,E,VS1,Ideal,$891.00 
0.58,G,VVS2,Ideal,$891.00 
0.7,E,SI2,Excellent,$893.00 
0.71,J,VVS2,Excellent,$895.00 
0.73,G,VVS2,Ideal,$896.00 
0.79,K,VVS2,Ideal,$899.00 
0.51,D,VS1,Excellent,$901.00 
0.5,F,VVS1,Excellent,$904.00 
0.93,K,VS1,Ideal,$905.00 
0.62,E,SI1,Ideal,$905.00 
0.82,K,VS2,Excellent,$905.00 
0.71,E,SI2,Excellent,$906.00 
0.61,F,SI1,Ideal,$908.00 
0.5,D,VS1,Ideal,$910.00 
0.7,I,VVS2,Very Good,$912.00 
0.7,I,VVS2,Very Good,$912.00 
0.6,H,VS1,Ideal,$914.00 
0.6,D,SI1,Excellent,$916.00 
0.52,D,VS1,Ideal,$918.00 
0.7,I,VS2,Excellent,$919.00 
0.91,D,SI2,Ideal,$919.00 
0.78,G,VS1,Excellent,$920.00 
0.9,J,SI1,Ideal,$923.00 
0.9,I,VS1,Excellent,$923.00 
0.7,I,VS1,Excellent,$924.00 
0.9,K,VVS2,Ideal,$926.00 
0.58,F,VVS2,Ideal,$928.00 
0.73,I,SI1,Ideal,$929.00 
0.56,D,VS2,Ideal,$930.00 
0.82,G,SI2,Ideal,$930.00 
0.91,K,VVS2,Excellent,$936.00 
0.71,E,SI2,Excellent,$940.00 
0.91,I,SI2,Ideal,$944.00 
0.92,J,VS2,Excellent,$944.00 
