1.12,G,VVS1,IDEAL,"$3,293.00USD"
1.12,G,VVS1,IDEAL,"$3,293.00USD"
1.12,F,VVS2,,"$3,314.00USD"
1.12,D,VS2,EXCELLENT,"$3,394.00USD"
1.13,J,I1,VERY GOOD,"$1,529.00USD"
1.13,J,SI2,IDEAL,"$1,559.00USD"
1.13,I,I1,VERY GOOD,"$1,627.00USD"
1.13,J,SI1,IDEAL,"$1,636.00USD"
1.13,J,VS1,IDEAL,"$1,798.00USD"
1.13,J,VS1,IDEAL,"$1,802.00USD"
1.13,I,SI1,EXCELLENT,"$1,890.00USD"
1.13,I,SI1,EXCELLENT,"$1,907.00USD"
1.13,G,I1,EXCELLENT,"$1,923.00USD"
1.13,I,SI1,IDEAL,"$1,936.00USD"
1.13,I,VS1,IDEAL,"$2,097.00USD"
1.13,I,VS1,IDEAL,"$2,097.00USD"
1.13,I,VS1,EXCELLENT,"$2,134.00USD"
1.13,I,VVS2,EXCELLENT,"$2,136.00USD"
1.13,F,SI2,IDEAL,"$2,193.00USD"
1.13,H,SI1,EXCELLENT,"$2,269.00USD"
1.13,H,VS1,EXCELLENT,"$2,391.00USD"
1.13,G,SI1,IDEAL,"$2,407.00USD"
1.13,G,SI1,EXCELLENT,"$2,407.00USD"
1.13,I,VVS1,EXCELLENT,"$2,445.00USD"
1.13,H,VS1,IDEAL,"$2,491.00USD"
1.13,H,VS1,IDEAL,"$2,491.00USD"
1.13,H,VVS2,IDEAL,"$2,548.00USD"
1.13,F,SI1,EXCELLENT,"$2,550.00USD"
1.13,E,SI1,IDEAL,"$2,556.00USD"
1.13,G,VS2,IDEAL,"$2,650.00USD"
1.13,F,VS2,IDEAL,"$2,757.00USD"
1.13,F,VS2,IDEAL,"$2,757.00USD"
1.13,F,VS2,IDEAL,"$2,802.00USD"
1.13,G,VS1,EXCELLENT,"$2,824.00USD"
1.13,G,VS1,EXCELLENT,"$2,846.00USD"
1.13,F,VS2,EXCELLENT,"$2,876.00USD"
1.13,G,VVS2,EXCELLENT,"$2,945.00USD"
1.13,E,VS2,IDEAL,"$2,993.00USD"
1.13,G,VVS2,EXCELLENT,"$3,153.00USD"
